rank,name,country
1,Jannik Sinner,ITA
2,Alexander Zverev,GER
3,Carlos Alcaraz,ESP
4,Novak Djokovic,SRB
5,Daniil Medvedev,RUS
6,Andrey Rublev,RUS
7,Taylor Fritz,USA
8,Hubert Hurkacz,POL
9,Casper Ruud,NOR
10,Grigor Dimitrov,BUL
11,Alex De Minaur,AUS
12,Stefanos Tsitsipas,GRE
13,Tommy Paul,USA
14,Holger Rune,DEN
15,Sebastian Korda,USA
16,Frances Tiafoe,USA
17,Ben Shelton,USA
18,Ugo Humbert,FRA
19,Lorenzo Musetti,ITA
20,Jack Draper,GBR
21,Felix Auger-Aliassime,CAN
22,Alejandro Tabilo,CHI
23,Karen Khachanov,RUS
24,Alexei Popyrin,AUS
25,Arthur Fils,FRA
26,Sebastian Baez,ARG
27,Alexander Bublik,KAZ
28,Nicolas Jarry,CHI
29,Jordan Thompson,AUS
30,Nuno Borges,POR
31,Francisco Cerundolo,ARG
32,Flavio Cobolli,ITA
33,Matteo Arnaldi,ITA
34,Tomas Martin Etcheverry,ARG
35,Tomas Machac,CZE
36,Mariano Navone,ARG
37,Jiri Lehecka,CZE
38,Jan-Lennard Struff,GER
39,Tallon Griekspoor,NED
40,Brandon Nakashima,USA
41,Luciano Darderi,ITA
42,Pedro Martinez,ESP
43,Matteo Berrettini,ITA
44,Gael Monfils,FRA
45,Marcos Giron,USA
46,Adrian Mannarino,FRA
47,Alex Michelsen,USA
48,Zhizhen Zhang,CHN
49,Fabian Marozsan,HUN
50,Lorenzo Sonego,ITA
51,Giovanni Mpetshi Perricard,FRA
52,Cameron Norrie,GBR
53,Miomir Kecmanovic,SRB
54,Yoshihito Nishioka,JPN
55,Roberto Carballes Baena,ESP
56,Roman Safiullin,RUS
57,Alexander Shevchenko,KAZ
58,Arthur Rinderknech,FRA
59,Sebastian Ofner,AUT
60,Facundo Diaz Acosta,ARG
61,Pavel Kotov,RUS
62,Roberto Bautista Agut,ESP
63,Alejandro Davidovich Fokina,ESP
64,David Goffin,BEL
65,Dusan Lajovic,SRB
66,Juncheng Shang,CHN
67,Jakub Mensik,CZE
68,Botic Van De Zandschulp,NED
69,Corentin Moutet,FRA
70,Alexandre Muller,FRA
71,James Duckworth,AUS
72,Zizou Bergs,BEL
73,Aleksandar Kovacevic,USA
74,Jaume Munar,ESP
75,Hugo Gaston,FRA
76,Thiago Monteiro,BRA
77,Rinky Hijikata,AUS
78,Thanasi Kokkinakis,AUS
79,Federico Coria,ARG
80,Fabio Fognini,ITA
81,Dominik Koepfer,GER
82,Sumit Nagal,IND
83,Emil Ruusuvuori,FIN
84,Daniel Altmaier,GER
85,Marton Fucsovics,HUN
86,Damir Dzumhur,BIH
87,Christopher O'connell,AUS
88,Arthur Cazaux,FRA
89,Max Purcell,AUS
90,Luca Nardi,ITA
91,Francisco Comesana,ARG
92,Taro Daniel,JPN
93,Camilo Ugo Carabelli,ARG
94,Aleksandar Vukic,AUS
95,Adam Walton,AUS
96,Yannick Hanfmann,GER
97,Thiago Agustin Tirante,ARG
98,Thiago Seyboth Wild,BRA
99,Borna Coric,CRO
100,Denis Shapovalov,CAN
